# Lab panel definitions — supplemental input for activities whose USDM BiomedicalConcepts
# are absent or incomplete (Hematology, Chemistry, Urinalysis).
#
# HOW TO USE
# ----------
# 1. Fill in your analyte rows below (one row per test).
# 2. Run:  python3 scripts/lab_panels_to_fsh.py
#    This generates input/fsh/generated/usdm/LabPanels.gen.fsh
#    containing ObservationDefinition instances for each panel and analyte.
#
# COLUMNS
# -------
# panel_id        : slug id of the parent panel (must match an activity id in
#                   usdm-activity-catalog.csv, e.g. hematology, chemistry, uninalysis)
# panel_title     : human-readable panel title (used for the panel ObservationDefinition)
# panel_loinc     : LOINC code for the panel (e.g. 58410-2 for CBC panel)
# analyte_id      : slug id for this analyte ObservationDefinition (e.g. hemoglobin)
# analyte_title   : human-readable analyte name
# loinc           : LOINC code for this analyte (e.g. 718-7 for Haemoglobin)
# loinc_display   : LOINC long common name
# unit            : UCUM unit string (e.g. g/dL, 10*3/uL, %)
# datatype        : quantity | string | integer  (default: quantity)
#
# NOTES
# -----
# - Leave panel_loinc blank if unknown; the generator will emit a TODO comment.
# - The panel ObservationDefinition is emitted once per unique panel_id.
# - All analyte rows with the same panel_id get hasMember links to that panel.
# - USDM already provides 3 Chemistry analytes (ALT, ALP, AST via BCCat_3) and
#   4 Urinalysis analytes (ALB, CREAT, K, SODIUM via BCCat_4). Add any missing
#   analytes here; the generator merges both sources.
#
panel_id,panel_title,panel_loinc,analyte_id,analyte_title,loinc,loinc_display,unit,datatype
# --- Hematology (USDM has no BC members for Activity_20; provide full panel here) ---
hematology,Complete Blood Count,58410-2,hemoglobin,Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,g/dL,quantity
hematology,Complete Blood Count,58410-2,hematocrit,Hematocrit,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,%,quantity
hematology,Complete Blood Count,58410-2,rbc,Erythrocyte count (RBC),789-8,Erythrocytes [#/volume] in Blood by Automated count,10*6/uL,quantity
hematology,Complete Blood Count,58410-2,mcv,Mean cell volume (MCV),787-2,MCV [Entitic volume] by Automated count,fL,quantity
hematology,Complete Blood Count,58410-2,mch,Mean cell hemoglobin (MCH),785-6,MCH [Entitic mass] by Automated count,pg,quantity
hematology,Complete Blood Count,58410-2,mchc,Mean cell hemoglobin concentration (MCHC),786-4,MCHC [Mass/volume] by Automated count,g/dL,quantity
hematology,Complete Blood Count,58410-2,wbc,Leukocytes (WBC),6690-2,Leukocytes [#/volume] in Blood by Automated count,10*3/uL,quantity
hematology,Complete Blood Count,58410-2,neutrophils_seg,"Neutrophils, segmented",770-8,Neutrophils/100 leukocytes in Blood by Automated count,%,quantity
hematology,Complete Blood Count,58410-2,neutrophils_bands,"Neutrophils, juvenile (bands)",764-1,Neutrophils.band/100 leukocytes in Blood by Manual count,%,quantity
hematology,Complete Blood Count,58410-2,lymphocytes,Lymphocytes,736-9,Lymphocytes/100 leukocytes in Blood by Automated count,%,quantity
hematology,Complete Blood Count,58410-2,monocytes,Monocytes,5905-5,Monocytes/100 leukocytes in Blood by Automated count,%,quantity
hematology,Complete Blood Count,58410-2,eosinophils,Eosinophils,713-8,Eosinophils/100 leukocytes in Blood by Automated count,%,quantity
hematology,Complete Blood Count,58410-2,basophils,Basophils,706-2,Basophils/100 leukocytes in Blood by Automated count,%,quantity
hematology,Complete Blood Count,58410-2,platelet,Platelet,777-3,Platelets [#/volume] in Blood by Automated count,10*3/uL,quantity
hematology,Complete Blood Count,58410-2,cell_morphology,Cell morphology,33256-9,Cellular morphology [Interpretation] in Blood,{finding},string
# --- Chemistry additions (USDM BCCat_3 already has ALT/ALP/AST; add remaining tests) ---
