# DO NOT EDIT — generated by scripts/usdm_to_soa.py
id,oid,oidsys,title,archetype,code_system,code,code_display,unit,result_obsdef_id,questionnaire_id,respondent_type,default_condition
informed-consent,,,Informed consent,measurement,http://www.cdisc.org,C16735,Informed Consent,,informed-consent-obs,,,
inclusion-and-exclusion-criteria,,,Inclusion and exclusion criteria,procedure,SNOMED,61871000000107,Eligibility for treatment,,,,,
patient-number-assigned,,,Patient number assigned,procedure,SNOMED,4561000175109,Assigned,,,,,
demographics,,,Demographics,instrument,,,,,,date-of-birth,practitioner,
hachinski-ischemic-scale,,,Hachinski Ischemic Scale,instrument,,,,,,haschinski-ischemic-scale,practitioner,
mmse,,,MMSE,instrument,,,,,,mmse,practitioner,
physical-examination,,,Physical examination,measurement,http://www.cdisc.org,C83119,Physical Examination Finding,,physical-examination-obs,,,
medical-history,,,Medical history,measurement,http://www.cdisc.org,C83119,Physical Examination Finding,,medical-history-obs,,,
habits,,,Habits,measurement,http://www.cdisc.org,C81229,Alcohol Use History,,habits-obs,,,
chest-x-ray,,,Chest X-ray,procedure,LOINC,LA16043-4,Chest x-ray,,,,,
apo-e-genotyping,,,Apo E genotyping,instrument,,,,,,apo-e-genotype,practitioner,
patient-randomised,,,Patient randomised,procedure,OMOP,OMOP4976950,Randomization record,,,,,
vital-signs-and-temperature,,,Vital Signs and Temperature,measurement,,,,,vital-signs-and-temperature-obs,,,
ambulatory-ecg-placed,,,Ambulatory ECG placed,procedure,SNOMED,164850009,Ambulatory ECG,,,,,
ambulatory-ecg-removed,,,Ambulatory ECG removed,procedure,SNOMED,164850009,Ambulatory ECG,,,,,
ecg,,,ECG,measurement,http://www.cdisc.org,C62085,ECG Measurement,,ecg-obs,,,
placebo-tts-test,,,Placebo TTS test,instrument,,,,,,placebo-tts-test,patient,
ct-scan,,,CT scan,procedure,SNOMED,383371000119108,CT of head without contrast,,,,,
concomitant-medications,,,Concomitant medications,measurement,http://www.cdisc.org,C83056,Concomitant Therapy,,concomitant-medications-obs,,,
hematology,,,Hematology,measurement,http://www.cdisc.org,C64849,HBA1C,Gram per Deciliter,hematology-obs,,,
chemistry,,,Chemistry,measurement,,,,,chemistry-obs,,,
uninalysis,,,Uninalysis,measurement,,,,,uninalysis-obs,,,
plasma-specimen-xanomeline,,,Plasma Specimen (Xanomeline),procedure,SNOMED,119361006,Plasma specimen,,,,,
hemoglobin-a1c,,,Hemoglobin A1C,measurement,http://www.cdisc.org,C64849,HBA1C,Gram per Deciliter,hemoglobin-a1c-obs,,,
study-drug-record-medications-dispensed-medications-returned,,,"Study drug record , Medications dispensed, Medications returned",procedure,SNOMED,373784005,Dispensing medication,,,,,
tts-acceptability-survey,,,TTS Acceptability Survey,procedure,SNOMED,725111000000103,Survey,,,,,
adas-cog,,,ADAS-Cog,measurement,http://www.cdisc.org,C100247,CDISC ADAS-Cog - Word Recognition Summary Score,,adas-cog-obs,,,
cibic,,,CIBIC+,measurement,http://www.cdisc.org,C28421,Sex,,cibic-obs,,,
dad,,,DAD,measurement,http://www.cdisc.org,C28421,Sex,,dad-obs,,,
npi-x,,,NPI-X,measurement,http://www.cdisc.org,C28421,Sex,,npi-x-obs,,,
adverse-events,,,Adverse events,measurement,http://www.cdisc.org,C179175,Solicited Adverse Event,,adverse-events-obs,,,
check-adverse-events,,,Check adverse events,procedure,SNOMED,453961000124104,Evaluation of adverse drug event history,,,,,
subject-supine,,,Subject supine,procedure,SPONSOR,123,Subject Supine,,,,,
vital-signs-while-supine,,,Vital signs while supine,measurement,http://www.cdisc.org,C25298,SYSBP,Unit of Pressure,vital-signs-while-supine-obs,,,
subject-standing,,,Subject Standing,procedure,SPONSOR,124,Subject Standing,,,,,
vital-signs-while-standing,,,Vital signs while standing,measurement,http://www.cdisc.org,C25298,SYSBP,Unit of Pressure,vital-signs-while-standing-obs,,,
