# DO NOT EDIT — generated by scripts/usdm_to_soa.py
obsdef_id,kind,member_of,code,code_display,unit,datatype
vscat1-panel-obs,panel,,,Vital Signs Category,,
vscat2-panel-obs,panel,,,Vital Signs Category,,
chemcat1-panel-obs,panel,,,Biochemistry Category,,
urincat1-panel-obs,panel,,,Biochemistry Category,,
informed-consent-obs,analyte,,C16735,Informed Consent,,string
physical-examination-obs,analyte,,C83119,Physical Examination Finding,,string
medical-history-obs,analyte,,C83119,Physical Examination Finding,,string
habits-obs,analyte,,C81229,Alcohol Use History,,string
vital-signs-and-temperature-obs,analyte,vscat1-panel-obs,,,,
ecg-obs,analyte,,C62085,ECG Measurement,,string
concomitant-medications-obs,analyte,,C83056,Concomitant Therapy,,string
hematology-obs,analyte,,C64849,HBA1C,Gram per Deciliter,Quantity
chemistry-obs,analyte,chemcat1-panel-obs,,,,
uninalysis-obs,analyte,urincat1-panel-obs,,,,
hemoglobin-a1c-obs,analyte,,C64849,HBA1C,Gram per Deciliter,Quantity
adas-cog-obs,analyte,,C100247,CDISC ADAS-Cog - Word Recognition Summary Score,,string
cibic-obs,analyte,,C28421,Sex,,string
dad-obs,analyte,,C28421,Sex,,string
npi-x-obs,analyte,,C28421,Sex,,string
adverse-events-obs,analyte,,C179175,Solicited Adverse Event,,string
vital-signs-while-supine-obs,analyte,,C25298,SYSBP,Unit of Pressure,Quantity
vital-signs-while-standing-obs,analyte,,C25298,SYSBP,Unit of Pressure,Quantity
