# DO NOT EDIT — generated by scripts/usdm_to_soa.py
activity_id,E1,E2,E3,E4,E5,E7,E8,E9,E10,E11,E12,E13
informed-consent,X,,,,,,,,,,,
inclusion-and-exclusion-criteria,X,,,,,,,,,,,
patient-number-assigned,X,,,,,,,,,,,
demographics,X,,,,,,,,,,,
hachinski-ischemic-scale,X,,,,,,,,,,,
mmse,X,,,,,,,,,,,
physical-examination,X,,,,,,,,,,,X
medical-history,X,,,,,,,,,,,
habits,X,,,,,,,,,,,
chest-x-ray,X,,,,,,,,,,,
apo-e-genotyping,,,,X,,,,,,,,
patient-randomised,,,X,,,,,,,,,
vital-signs-and-temperature,X,X,X,X,X,X,X,X,X,X,X,X
ambulatory-ecg-placed,,X,,,,,,,,,,
ambulatory-ecg-removed,,,X,,,,,,,,,
ecg,X,,,X,X,X,X,X,X,X,X,X
placebo-tts-test,X,,,,,,,,,,,
ct-scan,X,,,,,,,,,,,
concomitant-medications,X,,X,X,X,X,X,X,X,X,X,X
hematology,X,,,X,X,X,X,X,X,X,X,X
chemistry,X,,,X,X,X,X,X,X,X,X,X
uninalysis,X,,,X,,,,X,,,X,
plasma-specimen-xanomeline,,,X,X,X,X,,X,,X,,
hemoglobin-a1c,X,,,,,,,,,,,
study-drug-record-medications-dispensed-medications-returned,,,X,X,X,X,X,X,X,X,X,X
tts-acceptability-survey,,,,,,,,,,,,X
adas-cog,X,,X,,,,X,,X,,X,
cibic,X,,X,,,,X,,X,,X,
dad,X,,X,,,,X,,X,,X,
npi-x,X,,X,X,X,X,X,X,X,X,X,X
adverse-events,,,,,,,,,,,,
check-adverse-events,,,,,,,,,,,,
subject-supine,,,,,,,,,,,,
vital-signs-while-supine,,,,,,,,,,,,
subject-standing,,,,,,,,,,,,
vital-signs-while-standing,,,,,,,,,,,,
